ss_code,product_name,price,currency
43-01-03,CODEX: CHAOS SPACE MARINES 2 (ABR.) SPA,36.0,USD
43-01-60,CODEX: CHAOS SPACE MARINES 2 (ENGLISH),41.0,USD
43-02-60,DATACARDS: CHAOS SPACE MARINES 2 (ENG),19.0,USD
43-03,CODEX: DEATH GUARD (HB) (ENGLISH),51.0,USD
43-03,CODEX: DEATH GUARD (HB) (SPANISH),51.0,USD
43-04,DATACARDS: DEATH GUARD (ENGLISH),26.0,USD
43-04,DATACARDS: DEATH GUARD (SPANISH),26.0,USD
43-05-60,DATACARDS: CHAOS KNIGHTS (ENGLISH),19.0,USD
43-06,CHAOS SPACE MARINES,61.0,USD
43-08,CHAOS SPACE MARINES BIKERS,41.0,USD
43-09-03,CODEX: THOUSAND SONS (ABR.) (HB) (SPA),36.0,USD
43-09-60,CODEX: THOUSAND SONS (HB) (ENG),41.0,USD
43-10,KHORNE BERZERKERS,49.0,USD
43-11,CHAOS SPACE MARINES RHINO,45.0,USD
43-12,CHAOS SPACE MARINES CHAOS LORD,31.0,USD
43-13,CHAOS SPACE MARINE RAPTORS,39.0,USD
43-14,CHAOS SPACE MARINES FORGEFIEND,76.0,USD
43-15,CHAOS SPACE MARINES HELDRAKE,75.0,USD
43-18-03,CODEX: CHAOS KNIGHTS (HB) (SPANISH),41.0,USD
43-18-60,CODEX: CHAOS KNIGHTS (HB) (ENGLISH),41.0,USD
43-19,CHAOS SPACE MARINE TERMINATORS,61.0,USD
43-23,CHAOS S/M: HAARKEN WORLDCLAIMER,37.0,USD
43-24,DEATH GUARD: BIOLOGUS PUTRIFIER,31.0,USD
43-25,KHARN THE BETRAYER,36.0,USD
43-27,CHAOS SPACE MARINES POSSESSED,39.0,USD
43-29,DEATH GUARD: NAUSEOUS ROTBONE,31.0,USD
43-34,THOUSAND SONS MAGNUS THE RED,152.0,USD
43-35,THOUSAND SONS RUBRIC MARINES,60.0,USD
43-36,THOUSAND SONS SCARAB OCCULT TERMINATORS,61.0,USD
43-37,CHAOS SPACE MARINES DARK APOSTLE,36.0,USD
43-38,AHRIMAN ARCH-SORCERER OF TZEENTCH,41.0,USD
43-39,THOUSAND SONS EXALTED SORCERERS,61.0,USD
43-44,CHAOS SPACE MARINES MASTER OF EXECUTIONS,31.0,USD
43-45,D/G: SCRIBBUS WRETCH THE TALLYMAN,31.0,USD
43-46,DEATH GUARD: FOUL BLIGHTSPAWN,31.0,USD
43-47,DEATH GUARD: PLAGUE MARINE ICON BEARER,31.0,USD
43-48,DEATH GUARD: PLAGUE MARINE CHAMPION,31.0,USD
43-49,MORTARION: DAEMON PRIMARCH OF NURGLE,152.0,USD
43-50,DEATH GUARD: DEATHSHROUD BODYGUARD,61.0,USD
43-51,DEATH GUARD: BLIGHTLORD TERMINATORS,61.0,USD
43-52,DEATH GUARD: PLAGUEBURST CRAWLER,66.0,USD
43-53,D/GUARD: TYPHUS HERALD OF THE PLAGUE GOD,41.0,USD
43-54,DEATH GUARD: FOETID BLOAT-DRONE,51.0,USD
43-55,DEATH GUARD PLAGUE MARINES,51.0,USD
43-56,DEATH GUARD: MYPHITIC BLIGHT-HAULER,26.0,USD
43-58,CHAOS SPACE MARINES NOISE MARINE,37.0,USD
43-59,CHAOS SPACE MARINES VEX MACHINATOR,66.0,USD
43-60,CHAOS S/MARINES ABADDON THE DESPOILER,61.0,USD
43-61,CHAOS SPACE MARINES HAVOCS,56.0,USD
43-62,CHAOS SPACE MARINES CHAOS LORD (B/S F),31.0,USD
43-66,CHAOS KNIGHTS: KNIGHT DESECRATOR,152.0,USD
43-69,CHAOS SPACE MARINES SORCERER,31.0,USD
43-70,CHAOS SPACE MARINES NOCTILITH CROWN,59.0,USD
43-73,CHAOS SPACE MARINES: FABIUS BILE,41.0,USD
