mini,faction,material,edition,year
Kastelan Robots & Cybernetica Datasmith,Adeptus_Mechanicus,Plastic,Warhammer 40K: 7th Edition,2015
Kataphron Destroyers,Adeptus_Mechanicus,Plastic,Warhammer 40K: 7th Edition,2015
Kataphorn Breachers,Adeptus_Mechanicus,Plastic,Warhammer 40K: 7th Edition,2015
Tech-Priest Dominus,Adeptus_Mechanicus,Plastic,Warhammer 40K: 7th Edition,2015
Fulgurite Electro Priests,Adeptus_Mechanicus,Plastic,Warhammer 40K: 7th Edition,2015
Corpuscarii Electro Priests,Adeptus_Mechanicus,Plastic,Warhammer 40K: 7th Edition,2015
Knight Warden,Adeptus_Mechanicus,Plastic,Warhammer 40K: 7th Edition,2015
Knight Gallant,Adeptus_Mechanicus,Plastic,Warhammer 40K: 7th Edition,2015
Knight Crusader,Adeptus_Mechanicus,Plastic,Warhammer 40K: 7th Edition,2015
Tech-Priest Enginseer,Adeptus_Mechanicus,Plastic,Warhammer 40K: 7th Edition,2015
Belisarius Cawl,Adeptus_Mechanicus,Plastic,Warhammer 40K: 7th Edition,2017
Tech-Priest Manipulus,Adeptus_Mechanicus,Plastic,Warhammer 40K: 8th Edition,2019
Skorpius Disintegrator,Adeptus_Mechanicus,Plastic,Warhammer 40K: 8th Edition,2019
Skorpius Dunerider,Adeptus_Mechanicus,Plastic,Warhammer 40K: 8th Edition,2019
Archaeopter Fusilave,Adeptus_Mechanicus,Plastic,Warhammer 40K: 8th Edition,2020
Archaeopter Stratoraptor,Adeptus_Mechanicus,Plastic,Warhammer 40K: 8th Edition,2020
Archaeopter Transvector,Adeptus_Mechanicus,Plastic,Warhammer 40K: 8th Edition,2020
Pteraxii Skystalkers,Adeptus_Mechanicus,Plastic,Warhammer 40K: 8th Edition,2020
Pteraxii Sterylizors,Adeptus_Mechanicus,Plastic,Warhammer 40K: 8th Edition,2020
Serberys Raiders,Adeptus_Mechanicus,Plastic,Warhammer 40K: 8th Edition,2020
Serberys Sulphurhounds,Adeptus_Mechanicus,Plastic,Warhammer 40K: 8th Edition,2020
Skitarii Marshal,Adeptus_Mechanicus,Plastic,Warhammer 40K: 9th Edition,2021
Adeptus Mechanicus: Sydonian Skatros,Adeptus_Mechanicus,Plastic,Warhammer 40K: 9th Edition,2023
Vindicare Assassin,Imperial_Assassins,Plastic,Warhammer 40K: 7th Edition,2015
Culexus Assassin,Imperial_Assassins,Plastic,Warhammer 40K: 7th Edition,2015
Callidus Assassin,Imperial_Assassins,Plastic,Warhammer 40K: 7th Edition,2015
Eversor Assassin,Imperial_Assassins,Plastic,Warhammer 40K: 7th Edition,2015
Knight Errant,Imperial_Knights,Plastic,Warhammer 40K: 6th Edition,2014
Knight Paladin,Imperial_Knights,Plastic,Warhammer 40K: 6th Edition,2014
Knight Warden,Imperial_Knights,Plastic,Warhammer 40K: 7th Edition,2015
Knight Gallant,Imperial_Knights,Plastic,Warhammer 40K: 7th Edition,2015
Knight Crusader,Imperial_Knights,Plastic,Warhammer 40K: 7th Edition,2015
Forgebane: Armiger Warglaives,Imperial_Knights,Plastic,Warhammer 40K: 8th Edition,2018
Knight Castellan,Imperial_Knights,Plastic,Warhammer 40K: 8th Edition,2018
Knight Valiant,Imperial_Knights,Plastic,Warhammer 40K: 8th Edition,2018
Armiger Helverin,Imperial_Knights,Plastic,Warhammer 40K: 8th Edition,2018
Armiger Warglaives,Imperial_Knights,Plastic,Warhammer 40K: 8th Edition,2018
Knight Preceptor,Imperial_Knights,Plastic,Warhammer 40K: 8th Edition,2018
Canis Rex,Imperial_Knights,Plastic,Warhammer 40K: 8th Edition,2018
Inquisitor Coteaz,Inquisition,Finecast,Warhammer 40K: 3rd Edition,2003
Inquisitor with Combi-weapon,Inquisition,Metal?,Warhammer 40K: 3rd Edition,2003
Crusaders,Inquisition,Finecast,Warhammer 40K: 3rd Edition,2004
Inquisitor Karamazov,Inquisition,Finecast,Warhammer 40K: 3rd Edition,2004
Warrior Acolyte,Inquisition,Metal?,Warhammer 40K: 3rd Edition,2004
Inquisitor with Inferno Pistol & Power Sword,Inquisition,Finecast,Warhammer 40K: 3rd Edition,2004
Jokaero Weaponsmith,Inquisition,Finecast,Warhammer 40K: 4th Edition,2011
Inquisitor Greyfax,Inquisition,Plastic,Warhammer 40K: 7th Edition,2017
Eisenhorn,Inquisition,Finecast,Warhammer 40K: 8th Edition,2018
Ordo Xenos Lord Inquisitor Kyria Draxus,Inquisition,Plastic,Warhammer 40K: 8th Edition,2020
Bloodletters of Khorne,Chaos_Daemons,Plastic,Warhammer 40K: 4th Edition,2008
Daemonettes of Slaanesh,Chaos_Daemons,Plastic,Warhammer 40K: 4th Edition,2008
Herald of Khorne on Juggernaut,Chaos_Daemons,Finecast,Warhammer 40K: 4th Edition,2008
Epidemius,Chaos_Daemons,Finecast,Warhammer 40K: 4th Edition,2008
Soul Grinder,Chaos_Daemons,Plastic,Warhammer 40K: 4th Edition,2008
Daemon Prince,Chaos_Daemons,Finecast,Warhammer 40K: 5th Edition,2010
Seekers,Chaos_Daemons,Plastic,Warhammer 40K: 5th Edition,2010
Daemons of Khorne Bloodcrushers,Chaos_Daemons,Plastic,Warhammer 40K: 5th Edition,2010
"Fluxmaster, Herald of Tzeentch",Chaos_Daemons,Finecast,Warhammer 40K: 5th Edition,2011
Exalted Seeker Chariot of Slaanesh,Chaos_Daemons,Plastic,Warhammer 40K: 6th Edition,2012
Seeker Chariot of Slaanesh,Chaos_Daemons,Plastic,Warhammer 40K: 6th Edition,2012
Plaguebearers of Nurgle,Chaos_Daemons,Plastic,Warhammer 40K: 6th Edition,2012
Screamers of Tzeentch,Chaos_Daemons,Plastic,Warhammer 40K: 6th Edition,2012
Flamers of Tzeentch,Chaos_Daemons,Plastic,Warhammer 40K: 6th Edition,2012
The Blue Scribes,Chaos_Daemons,Finecast,Warhammer 40K: 6th Edition,2012
Burning Chariot of Tzeentch,Chaos_Daemons,Plastic,Warhammer 40K: 6th Edition,2013
"Fateskimmer, Herald on Burning Chariot",Chaos_Daemons,Plastic,Warhammer 40K: 6th Edition,2013
Exalted Flamer of Tzeentch,Chaos_Daemons,Plastic,Warhammer 40K: 6th Edition,2013
Blood Throne of Khorne,Chaos_Daemons,Plastic,Warhammer 40K: 6th Edition,2013
Skull Cannon of Khorne,Chaos_Daemons,Plastic,Warhammer 40K: 6th Edition,2013
Herald of Slaanesh,Chaos_Daemons,Finecast,Warhammer 40K: 6th Edition,2013
Poxbringer,Chaos_Daemons,Plastic,Warhammer 40K: 6th Edition,2013
Plague Drones of Nurgle,Chaos_Daemons,Plastic,Warhammer 40K: 6th Edition,2013
Bloodthirster,Chaos_Daemons,Plastic,Warhammer 40K: 7th Edition,2015
Skarbrand,Chaos_Daemons,Plastic,Warhammer 40K: 7th Edition,2015
Horrors of Tzeentch,Chaos_Daemons,Plastic,Warhammer 40K: 7th Edition,2017
Kairos Fateweaver,Chaos_Daemons,Plastic,Warhammer 40K: 7th Edition,2017
Lord of Change,Chaos_Daemons,Plastic,Warhammer 40K: 7th Edition,2017
The Changeling,Chaos_Daemons,Plastic,Warhammer 40K: 7th Edition,2017
Horticulous Slimux,Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2017
Great Unclean One,Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2018
Rotigus,Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2018
Sloppity Bilepiper,Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2018
Spoilpox Scrivener,Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2018
Beast of Nurgle,Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2018
"Karanak, The Hound of Vengeance",Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2018
Flesh Hounds,Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2018
Infernal Enrapturess,Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2018
Fiends,Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2018
Skulltaker,Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2019
"Bloodmaster, Herald of Khorne",Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2019
Syll'Esske: The Vengeful Allegiance,Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2019
Keeper of Secrets,Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2019
Shalaxi Hellbane,Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2019
Contorted Epitome,Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2019
The Masque,Chaos_Daemons,Plastic,Warhammer 40K: 8th Edition,2019
"Be'lakor, the Dark Master",Chaos_Daemons,Plastic,Warhammer 40K: 9th Edition,2021
War Dog (Helverin),Chaos_Knights,Plastic,Warhammer 40K: 8th Edition,2018
War Dog (Warglaives),Chaos_Knights,Plastic,Warhammer 40K: 8th Edition,2018
Knight Tyrant (Valiant),Chaos_Knights,Plastic,Warhammer 40K: 8th Edition,2018
Knight Tyrant (Castellan),Chaos_Knights,Plastic,Warhammer 40K: 8th Edition,2018
Knight Despoiler (Preceptor),Chaos_Knights,Plastic,Warhammer 40K: 8th Edition,2018
Knight Desecrator,Chaos_Knights,Plastic,Warhammer 40K: 8th Edition,2019
Knight Rampager,Chaos_Knights,Plastic,Warhammer 40K: 8th Edition,2019
Khorne Berzerkers,Chaos_Space_Marines,Plastic,Warhammer 40K: 3rd Edition,1999
Chaos Bikers,Chaos_Space_Marines,Plastic,Warhammer 40K: 3rd Edition,1999
Chaos Land Raider,Chaos_Space_Marines,Plastic,Warhammer 40K: 3rd Edition,2000
Noise Marines Sonic Weapons,Chaos_Space_Marines,Finecast,Warhammer 40K: 3rd Edition,2002
Noise Marines Upgrade Pack,Chaos_Space_Marines,Finecast,Warhammer 40K: 3rd Edition,2002
Iron Warriors Warsmith,Chaos_Space_Marines,Metal,Warhammer 40K: 3rd Edition,2002
Rhino,Chaos_Space_Marines,Plastic,Warhammer 40K: 3rd Edition,2002
Chaos Rhino,Chaos_Space_Marines,Plastic,Warhammer 40K: 3rd Edition,2002
Chaos Predator,Chaos_Space_Marines,Plastic,Warhammer 40K: 3rd Edition,2003
Night Lords Chaos Lord,Chaos_Space_Marines,Finecast?,Warhammer 40K: 3rd Edition,2003
Night Lord Conversion Pack,Chaos_Space_Marines,Finecast,Warhammer 40K: 3rd Edition,2003
Defiler,Chaos_Space_Marines,Plastic,Warhammer 40K: 3rd Edition,2003
Lucius The Eternal,Chaos_Space_Marines,Finecast,Warhammer 40K: 4th Edition,2006
Fallen,Chaos_Space_Marines,Plastic,Warhammer 40K: 4th Edition,2007
Possessed,Chaos_Space_Marines,Plastic,Warhammer 40K: 4th Edition,2007
Terminator Lord,Chaos_Space_Marines,Plastic,Warhammer 40K: 4th Edition,2007
Sorcerer Lord in Terminator Armour,Chaos_Space_Marines,Plastic,Warhammer 40K: 4th Edition,2007
Chaos Lord with Jump Pack,Chaos_Space_Marines,Finecast,Warhammer 40K: 4th Edition,2007
Huron Blackheart,Chaos_Space_Marines,Finecast,Warhammer 40K: 4th Edition,2007
Chaos Spawn,Chaos_Space_Marines,Plastic,Warhammer 40K: 4th Edition,2007
Bloodletters of Khorne,Chaos_Space_Marines,Plastic,Warhammer 40K: 4th Edition,2008
Daemon Prince,Chaos_Space_Marines,Finecast,Warhammer 40K: 5th Edition,2010
Plaguebearers of Nurgle,Chaos_Space_Marines,Plastic,Warhammer 40K: 6th Edition,2012
Chaos Cultists,Chaos_Space_Marines,Plastic,Warhammer 40K: 6th Edition,2012
Maulerfiend,Chaos_Space_Marines,Plastic,Warhammer 40K: 6th Edition,2012
Forgefiend,Chaos_Space_Marines,Plastic,Warhammer 40K: 6th Edition,2012
Heldrake,Chaos_Space_Marines,Plastic,Warhammer 40K: 6th Edition,2012
Raptors,Chaos_Space_Marines,Plastic,Warhammer 40K: 6th Edition,2012
Warp Talons,Chaos_Space_Marines,Plastic,Warhammer 40K: 6th Edition,2012
Aspiring Champion,Chaos_Space_Marines,Plastic,Warhammer 40K: 6th Edition,2012
Warpsmith,Chaos_Space_Marines,Finecast,Warhammer 40K: 6th Edition,2012
Mutilators,Chaos_Space_Marines,Finecast,Warhammer 40K: 6th Edition,2012
Khorne Lord of Skulls,Chaos_Space_Marines,Plastic,Warhammer 40K: 6th Edition,2013
Helbrute,Chaos_Space_Marines,Plastic,Warhammer 40K: 6th Edition,2014
Khârn the Betrayer,Chaos_Space_Marines,Plastic,Warhammer 40K: 7th Edition,2016
Cypher,Chaos_Space_Marines,Plastic,Warhammer 40K: 7th Edition,2017
Easy to Build: Plague Marines,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2017
Easy to Build: Poxwalkers,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2017
Plague Marines,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2017
Plague Marine Champion,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2017
Icon Bearer,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2017
Plague Marine Reinforcements,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2018
Chaos Lord,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2018
Haarken Worldclaimer,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2018
Noise Marine,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2018
Abaddon The Despoiler,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2019
Chaos Space Marines,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2019
Chaos Space Marine Havocs,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2019
Chaos Terminators,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2019
Arch-Lord Discordant,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2019
Dark Apostle,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2019
Master of Executions,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2019
Chaos Sorcerer,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2019
Fabius Bile,Chaos_Space_Marines,Plastic,Warhammer 40K: 8th Edition,2020
Chosen,Chaos_Space_Marines,Plastic,Warhammer 40K: 9th Edition,2022
Warpsmith,Chaos_Space_Marines,Plastic,Warhammer 40K: 9th Edition,2022
Chaos Lord,Chaos_Space_Marines,Plastic,Warhammer 40K: 10th Edition,2024
Chaos Lord on Jump Pack,Chaos_Space_Marines,Plastic,Warhammer 40K: 10th Edition,2024
Chaos Land Raider,Death_Guard,Plastic,Warhammer 40K: 3rd Edition,2000
Rhino,Death_Guard,Plastic,Warhammer 40K: 3rd Edition,2002
Chaos Rhino,Death_Guard,Plastic,Warhammer 40K: 3rd Edition,2002
Chaos Predator,Death_Guard,Plastic,Warhammer 40K: 3rd Edition,2003
Defiler,Death_Guard,Plastic,Warhammer 40K: 3rd Edition,2003
Daemon Prince of Nurgle,Death_Guard,Finecast,Warhammer 40K: 4th Edition,2006
Possessed,Death_Guard,Plastic,Warhammer 40K: 4th Edition,2007
Chaos Spawn,Death_Guard,Plastic,Warhammer 40K: 4th Edition,2007
Plaguebearers of Nurgle,Death_Guard,Plastic,Warhammer 40K: 6th Edition,2012
Chaos Cultists,Death_Guard,Plastic,Warhammer 40K: 6th Edition,2012
Lord of Contagion,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Noxious Blightbringer,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Malignant Plaguecaster,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Plague Marine Champion,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Plague Marines,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Foetid Bloat-Drone,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Poxwalkers,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Easy to Build: Plague Marines,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Easy to Build: Poxwalkers,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Mortarion,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Deathshroud Bodyguard,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Blightlord Terminators,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Plague Marines,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Plague Marine Champion,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Icon Bearer,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Plagueburst Crawler,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Foetid Bloat-Drone,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Foul Blightspawn,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
"Nauseous Rotbone, the Plague Surgeon",Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Biologus Putrifier,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Scribbus Wretch The Tallyman,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
"Typhus, Herald of the Plague God",Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Easy to Build: Lord Felthius & Tainted Cohort,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Easy to Build: Myphetic Blight-Hauler,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2017
Plague Marine Reinforcements,Death_Guard,Plastic,Warhammer 40K: 8th Edition,2018
Lord of Virulence,Death_Guard,Plastic,Warhammer 40K: 9th Edition,2021
Miasmic Malignifier,Death_Guard,Plastic,Warhammer 40K: 9th Edition,2021
Mutalith Vortex Beast,Thousand_Sons,Plastic,Warhammer 40K: 6th Edition,2013
Magnus the Red,Thousand_Sons,Plastic,Warhammer 40K: 7th Edition,2016
Rubric Marines,Thousand_Sons,Plastic,Warhammer 40K: 7th Edition,2016
Scarab Occult Terminators,Thousand_Sons,Plastic,Warhammer 40K: 7th Edition,2016
Exalted Sorcerers,Thousand_Sons,Plastic,Warhammer 40K: 7th Edition,2016
Tzaangors,Thousand_Sons,Plastic,Warhammer 40K: 7th Edition,2016
Ahriman,Thousand_Sons,Plastic,Warhammer 40K: 7th Edition,2016
Tzaangor Enlightened,Thousand_Sons,Plastic,Warhammer 40K: 7th Edition,2017
Tzaangor Skyfires,Thousand_Sons,Plastic,Warhammer 40K: 7th Edition,2017
Tzaangor Shaman,Thousand_Sons,Plastic,Warhammer 40K: 7th Edition,2017
Infernal Master,Thousand_Sons,Plastic,Warhammer 40K: 9th Edition,2021
