price,all,faction
46.0,Space Marines Tactical Squad,Space_Marines
46.0,Space Marines Assault Squad,Space_Marines
50.6,Space Marines Terminator Squad,Space_Marines
37.72,Space Marine Bike Squad,Space_Marines
50.6,Space Marines Devastator Squad,Space_Marines
32.2,Space Marines Scouts,Space_Marines
45.08,Space Marines Vanguard Veteran Squad,Space_Marines
54.28,Space Marine Sternguard Veteran Squad,Space_Marines
32.2,Space Marine Attack Bike,Space_Marines
42.32,Space Marines Razorback,Space_Marines
56.12,Space Marines: Hammerfall Bunker,Space_Marines
56.12,Space Marines Predator,Space_Marines
72.68,Space Marines Centurion Assault Squad,Space_Marines
56.12,Space Marines Vindicator,Space_Marines
41.4,Space Marines Drop Pod,Space_Marines
32.2,Space Marines Scouts With Sniper Rifles,Space_Marines
89.24,S/Marines Land Raider Crusader/Redeemer,Space_Marines
42.32,Space Marines: Primaris Chaplain On Bike,Space_Marines
55.2,Space Marines Venerable Dreadnought,Space_Marines
51.52,Space Marines Terminator Assault Squad,Space_Marines
34.04,Space Marine Land Speeder Storm,Space_Marines
56.12,Space Marines: Assault Intercessors,Space_Marines
74.52,Space Marines Gladiator,Space_Marines
31.28,Space Marines Librarian,Space_Marines
33.12,Space Marines Primaris Techmarine,Space_Marines
56.12,Space Marines Outriders,Space_Marines
56.12,Space Marines Stormhawk Interceptor,Space_Marines
46.92,Space Marines Primaris Eradicators,Space_Marines
46.92,Space Marines Bladeguard Veterans,Space_Marines
60.72,Space Marines Storm Speeder,Space_Marines
54.28,Space Marines Ironclad Dreadnought,Space_Marines
37.72,Space Marines Primaris Invader Atv,Space_Marines
46.92,Space Marines Company Command,Space_Marines
33.12,Space Marines Firestrike Servo Turret,Space_Marines
92.92,S/Marines Primaris Repulsor Executioner,Space_Marines
33.12,Space Marines Primaris Apothecary,Space_Marines
33.12,Space Marines Primaris Captain,Space_Marines
33.12,Space Marines Primaris Chaplain,Space_Marines
33.12,Space Marines Primaris Librarian,Space_Marines
33.12,Primaris Lieutenant In Phobos Armour,Space_Marines
33.12,Primaris Librarian In Phobos Armour,Space_Marines
34.04,Space Marines Captain In Phobos Armour,Space_Marines
46.92,Space Marines Primaris Aggressors,Space_Marines
56.12,Space Marines Primaris Reivers,Space_Marines
56.12,Space Marines Primaris Intercessors,Space_Marines
56.12,Space Marines Primaris Hellblasters,Space_Marines
60.72,S/Marines Primaris Redemptor Dreadnought,Space_Marines
74.52,Space Marines Primaris Repulsor,Space_Marines
46.92,Space Marines Primaris Inceptors,Space_Marines
33.12,S/M Primaris Lieutenant With Power Sword,Space_Marines
46.92,Space Marines Primaris Eliminators,Space_Marines
69.92,Space Marines Primaris Impulsor,Space_Marines
56.12,Space Marines Primaris Infiltrators,Space_Marines
56.12,S/M Primaris Invictor Tactical Warsuit,Space_Marines
42.32,Necrons: Necron Warriors,Necrons
45.08,Necrons: Triarch Praetorians,Necrons
158.24,Necrons Monolith,Necrons
35.88,Necrons: Immortals,Necrons
51.52,Necrons: Ghost Ark,Necrons
45.08,Necrons: Catacomb Command Barge,Necrons
46.0,Necrons: Tomb Blades,Necrons
51.52,Necrons: Canoptek Wraiths,Necrons
56.12,Necrons: Doom Scythe,Necrons
35.88,Necrons: Canoptek Spyder,Necrons
51.52,Necrons: Triarch Stalker,Necrons
26.68,Necrons: Overlord,Necrons
33.12,Necrons: Cryptek,Necrons
56.12,Necrons: Convergence Of Dominion,Necrons
139.84,Necrons: Szarekh The Silent King,Necrons
33.12,Necrons Hexmark Destroyer,Necrons
33.12,Necrons Lokhusts Heavy Destroyer,Necrons
37.72,Necrons Canoptek Doomstalker,Necrons
102.12,Necrons: C'Tan Shard Of The Void Dragon,Necrons
51.52,Necrons Skorpekh Destroyers,Necrons
51.52,Necrons Ophydian Destroyers,Necrons
33.12,Necrons Psychomancer,Necrons
46.92,Necrons Illuminor Szeras,Necrons
42.32,Ork Warbiker Mob,Orks
58.88,Ork Meganobz,Orks
41.4,Ork Trukk,Orks
34.04,Ork Boyz,Orks
32.2,Ork Nobz,Orks
32.2,Ork Stormboyz,Orks
17.48,Orks Gretchin,Orks
51.52,Ork Killa Kans,Orks
115.92,Ork Gorkanaut,Orks
69.92,Ork Battlewagon,Orks
32.2,Ork Lootas,Orks
51.52,Ork Flash Gitz,Orks
27.6,Orks Painboy,Orks
46.92,Ork Mek Gun,Orks
45.08,Orks Mekboy Workshop,Orks
